"sample" "pop" "lat" "lon" "ID" "Annual_Mean_Temperature" "Mean_Diurnal_Range" "Isothermality" "Temperature_Seasonality" "Max_Temperature_of_Warmest_Month" "Min_Temperature_of_Coldest_Month" "Temperature_Annual_Range" "Mean_Temperature_of_Wettest_Quarter" "Mean_Temperature_of_Driest_Quarter" "Mean_Temperature_of_Warmest_Quarter" "Mean_Temperature_of_Coldest_Quarter" "Annual_Precipitation" "Precipitation_of_Wettest_Month" "Precipitation_of_Driest_Month" "Precipitation_Seasonality" "Precipitation_of_Wettest_Quarter" "Precipitation_of_Driest_Quarter" "Precipitation_of_Warmest_Quarter" "Precipitation_of_Coldest_Quarter"
5860 "SWE" 62.6814 18.0165 21 3.71505498886108 7.5319972038269 25.6659812927246 782.981384277344 19.5660381317139 -9.78018856048584 29.3462257385254 4.18490600585938 -2.27987408638 13.9209117889404 -5.42169809341431 708 87 39 26.9773559570312 240 128 188 151
5865 "SWE" 55.76 14.12 22 7.22157287597656 6.84814548492432 29.2646427154541 620.885131835938 20.7164993286133 -2.68425011634827 23.400749206543 4.24149990081787 2.21266651153564 15.1892910003662 0.077583335340023 728 75 42 19.1165523529053 223 143 182 183
5867 "SWE" 55.7733 14.1334 23 7.22157287597656 6.84814548492432 29.2646427154541 620.885131835938 20.7164993286133 -2.68425011634827 23.400749206543 4.24149990081787 2.21266651153564 15.1892910003662 0.077583335340023 728 75 42 19.1165523529053 223 143 182 183
6009 "SWE" 62.877 18.177 24 3.40913248062134 7.92906188964844 26.4949169158936 789.689392089844 19.8169803619385 -10.109748840332 29.9267292022705 3.65995788574219 2.02631020545959 13.7254190444946 -5.77515745162964 716 88 37 28.5358657836914 242 124 197 153
6010 "SWE" 62.8921 18.1922 25 3.40913248062134 7.92906188964844 26.4949169158936 789.689392089844 19.8169803619385 -10.109748840332 29.9267292022705 3.65995788574219 2.02631020545959 13.7254190444946 -5.77515745162964 716 88 37 28.5358657836914 242 124 197 153
6011 "SWE" 62.8923 18.1924 26 3.40913248062134 7.92906188964844 26.4949169158936 789.689392089844 19.8169803619385 -10.109748840332 29.9267292022705 3.65995788574219 2.02631020545959 13.7254190444946 -5.77515745162964 716 88 37 28.5358657836914 242 124 197 153
6012 "SWE" 62.8925 18.1926 27 3.40913248062134 7.92906188964844 26.4949169158936 789.689392089844 19.8169803619385 -10.109748840332 29.9267292022705 3.65995788574219 2.02631020545959 13.7254190444946 -5.77515745162964 716 88 37 28.5358657836914 242 124 197 153
6013 "SWE" 62.8927 18.1928 28 3.40913248062134 7.92906188964844 26.4949169158936 789.689392089844 19.8169803619385 -10.109748840332 29.9267292022705 3.65995788574219 2.02631020545959 13.7254190444946 -5.77515745162964 716 88 37 28.5358657836914 242 124 197 153
6016 "SWE" 62.9 18.4 29 3.61457562446594 7.52400875091553 25.896390914917 772.313171386719 19.51784324646 -9.53643131256104 29.0542755126953 3.96338295936584 2.0241014957428 13.7346343994141 -5.26381683349609 707 87 35 28.911678314209 240 121 194 152
6017 "SWE" 62.9159 18.416 30 3.61457562446594 7.52400875091553 25.896390914917 772.313171386719 19.51784324646 -9.53643131256104 29.0542755126953 3.96338295936584 2.0241014957428 13.7346343994141 -5.26381683349609 707 87 35 28.911678314209 240 121 194 152
6019 "SWE" 56.06 14.29 31 7.42397928237915 7.53999996185303 31.0412616729736 635.7451171875 21.4750003814697 -2.81524991989136 24.2902507781982 14.7628746032715 2.41683340072632 15.5841665267944 0.0795833691954613 593 61 33 19.9508247375488 177 108 171 131
6020 "SWE" 56.0761 14.3062 32 7.42397928237915 7.53999996185303 31.0412616729736 635.7451171875 21.4750003814697 -2.81524991989136 24.2902507781982 14.7628746032715 2.41683340072632 15.5841665267944 0.0795833691954613 593 61 33 19.9508247375488 177 108 171 131
6021 "SWE" 56.0763 14.3064 33 7.42397928237915 7.53999996185303 31.0412616729736 635.7451171875 21.4750003814697 -2.81524991989136 24.2902507781982 14.7628746032715 2.41683340072632 15.5841665267944 0.0795833691954613 593 61 33 19.9508247375488 177 108 171 131
6022 "SWE" 56.0765 14.3066 34 7.42397928237915 7.53999996185303 31.0412616729736 635.7451171875 21.4750003814697 -2.81524991989136 24.2902507781982 14.7628746032715 2.41683340072632 15.5841665267944 0.0795833691954613 593 61 33 19.9508247375488 177 108 171 131
6023 "SWE" 55.7509 13.3712 35 7.71201038360596 6.76856231689453 28.8287696838379 640.446166992188 20.9867496490479 -2.49175000190735 23.4785003662109 8.34879207611084 2.59441661834717 15.8589162826538 0.28399994969368 706 73 40 20.7261123657227 215 132 186 170
6024 "SWE" 55.7676 13.388 36 7.71201038360596 6.76856231689453 28.8287696838379 640.446166992188 20.9867496490479 -2.49175000190735 23.4785003662109 8.34879207611084 2.59441661834717 15.8589162826538 0.28399994969368 706 73 40 20.7261123657227 215 132 186 170
6025 "SWE" 62.6437 17.7339 37 3.47061133384705 7.9231595993042 26.3567943572998 801.321960449219 19.6131973266602 -10.4479694366455 30.0611667633057 3.95939087867737 -2.4603214263916 13.8078260421753 -6.02390003204346 680 77 35 25.8939361572266 220 121 193 140
